code,market,issue,issue_short,industry,unit,info,topix100,tracking
1301-T,東証1部,極洋,極洋,水産・農林業,1000,貸借銘柄,,
1332-T,東証1部,日本水産,日水,水産・農林業,100,貸借銘柄,,
1333-T,東証1部,マルハニチロ,マルハニチロ,水産・農林業,100,貸借銘柄,,
1352-T,東証1部,ホウスイ,ホウスイ,卸売業,1000,制度信用銘柄,,
1377-T,東証1部,サカタのタネ,サカタのタネ,水産・農林業,100,貸借銘柄,,
1379-T,東証1部,ホクト,ホクト,水産・農林業,100,貸借銘柄,,
1414-T,東証1部,ショーボンドホールディングス,ショーボンド,建設業,100,貸借銘柄,,
1417-T,東証1部,ミライト・ホールディングス,ミライトＨＤ,建設業,100,貸借銘柄,,
1419-T,東証1部,タマホーム,タマホーム,建設業,100,貸借銘柄,,
1420-T,東証1部,サンヨーホームズ,サンヨーＨ,建設業,100,貸借銘柄,,
1514-T,東証1部,住石ホールディングス,住石ＨＤ,鉱業,100,貸借銘柄,,
1515-T,東証1部,日鉄鉱業,日鉄鉱,鉱業,1000,貸借銘柄,,
1518-T,東証1部,三井松島産業,三井松島,鉱業,1000,貸借銘柄,,
1605-T,東証1部,国際石油開発帝石,国際帝石,鉱業,100,貸借銘柄/TOPIX100,1,
1606-T,東証1部,日本海洋掘削,海洋掘削,鉱業,100,貸借銘柄,,
1662-T,東証1部,石油資源開発,石油資源,鉱業,100,貸借銘柄,,
1663-T,東証1部,K&Oエナジーグループ,Ｋ＆Ｏエナジー,鉱業,100,貸借銘柄,,
1712-T,東証1部,ダイセキ環境ソリューション,ダイセキＳ,建設業,100,貸借銘柄,,
1719-T,東証1部,安藤・間,安藤ハザマ,建設業,100,貸借銘柄,,
1720-T,東証1部,東急建設,東急建設,建設業,100,貸借銘柄,,
1721-T,東証1部,コムシスホールディングス,コムシスＨＤ,建設業,100,貸借銘柄,,
1722-T,東証1部,ミサワホーム,ＭＩＳＡＷＡ,建設業,100,貸借銘柄,,
1762-T,東証1部,高松コンストラクショングループ,高松Ｇ,建設業,100,貸借銘柄,,
1766-T,東証1部,東建コーポレーション,東建コーポ,建設業,100,貸借銘柄,,
1780-T,東証1部,ヤマウラ,ヤマウラ,建設業,100,貸借銘柄,,
1801-T,東証1部,大成建設,大成建,建設業,1000,貸借銘柄,,
1802-T,東証1部,大林組,大林組,建設業,1000,貸借銘柄,,
1803-T,東証1部,清水建設,清水建,建設業,1000,貸借銘柄,,
1805-T,東証1部,飛島建設,飛島建,建設業,100,貸借銘柄,,
1808-T,東証1部,長谷工コーポレーション,長谷工,建設業,100,貸借銘柄,,
1810-T,東証1部,松井建設,松井建,建設業,1000,貸借銘柄,,
1811-T,東証1部,錢高組,銭高組,建設業,1000,貸借銘柄,,
1812-T,東証1部,鹿島建設,鹿島,建設業,1000,貸借銘柄,,
1813-T,東証1部,不動テトラ,不動テトラ,建設業,100,貸借銘柄,,
1814-T,東証1部,大末建設,大末建,建設業,100,貸借銘柄,,
1815-T,東証1部,鉄建建設,鉄建,建設業,1000,貸借銘柄,,
1819-T,東証1部,日鉄住金テックスエンジ,日鉄住金テクスエンジ,建設業,1000,貸借銘柄,,
1820-T,東証1部,西松建設,西松建,建設業,1000,貸借銘柄,,
1821-T,東証1部,三井住友建設,三住建設,建設業,100,貸借銘柄,,
1822-T,東証1部,大豊建設,大豊建,建設業,1000,貸借銘柄,,
1824-T,東証1部,前田建設工業,前田建,建設業,1000,貸借銘柄,,
